882 2901
450 768 361
528 716 356
99 729 603
882 283 919
721 158 668
531 161 418
375 737 895
462 692 588
202 322 899
749 98 976
37 550 856
390 195 295
300 767 980
789 545 328
274 542 810
222 508 799
329 84 570
16 507 817
584 509 692
769 842 221
833 91 493
747 472 542
129 430 488
754 281 55
124 179 751
39 313 209
301 234 128
653 446 947
568 57 939
365 114 938
751 118 969
176 206 583
358 466 361
69 227 79
6 878 640
723 471 287
723 310 688
7 81 566
649 55 567
292 720 356
428 271 332
320 518 793
381 392 810
130 277 665
699 709 58
57 778 320
611 388 975
700 180 185
311 425 646
661 677 786
293 172 48
399 137 826
245 12 218
434 596 354
363 178 136
842 186 684
404 284 308
334 702 365
184 392 860
650 321 152
268 208 513
262 364 20
240 713 740
654 489 417
691 1 870
28 239 81
290 244 934
416 297 86
94 377 465
846 419 738
548 4 687
802 581 213
725 117 962
455 218 812
713 572 712
495 417 222
21 386 838
680 116 367
50 875 875
153 319 767
874 228 515
60 539 246
700 642 314
300 809 744
245 845 675
511 641 444
370 215 757
621 846 567
485 433 813
302 670 928
201 322 130
857 427 571
114 861 506
192 600 672
25 418 541
615 775 882
362 480 18
625 691 729
571 73 366
775 30 970
314 134 650
372 644 588
210 354 17
288 333 395
359 744 256
348 851 963
847 466 524
216 484 740
98 871 953
383 158 737
479 543 813
359 160 331
864 141 810
392 286 689
126 552 714
342 120 784
806 488 745
698 792 224
131 4 32
31 397 686
82 810 788
815 712 254
404 608 774
750 866 167
207 675 60
219 658 298
90 853 997
204 14 527
479 393 778
845 703 741
705 364 471
406 562 58
306 40 853
184 335 313
395 665 469
630 204 465
754 425 125
116 629 850
355 882 722
743 565 672
366 874 68
683 476 917
280 177 79
327 316 470
453 152 903
361 731 103
750 731 982
784 434 940
450 563 409
74 482 348
296 480 489
245 727 854
676 98 825
468 170 297
269 307 622
864 488 630
349 723 172
677 639 354
580 42 673
288 820 282
334 503 882
540 706 25
485 356 377
684 839 157
9 264 655
515 784 547
679 399 601
707 479 246
262 755 716
584 458 208
15 337 541
532 328 356
705 524 603
810 392 99
291 739 487
317 771 110
295 689 139
829 423 546
719 65 392
305 379 838
536 215 355
453 350 389
140 514 382
510 165 763
432 735 737
434 613 193
294 516 42
349 21 312
619 720 39
497 630 263
344 302 372
634 346 332
25 301 659
99 490 975
76 401 864
642 292 388
300 120 71
740 535 506
477 94 441
583 235 770
53 556 932
363 472 417
490 372 142
709 73 969
446 142 770
242 288 749
717 681 459
660 691 205
175 650 216
324 709 834
210 510 493
487 190 66
858 227 138
192 757 815
517 339 69
470 55 983
686 409 458
155 510 122
708 540 804
125 736 800
626 160 726
609 700 164
516 649 702
638 413 70
535 503 261
733 305 523
156 630 804
616 449 201
710 396 804
802 316 718
841 804 992
313 528 796
821 249 385
252 29 675
712 389 693
259 431 677
526 715 491
729 387 889
232 727 667
622 458 224
704 152 561
122 55 132
537 796 502
684 600 245
51 732 122
66 286 797
271 88 779
371 714 68
722 142 220
262 14 124
675 17 146
785 453 279
32 461 948
291 627 31
629 252 86
603 595 867
750 482 937
58 568 848
621 649 633
154 615 674
119 287 635
737 246 605
757 860 922
610 549 253
862 26 300
508 473 694
840 182 315
4 746 712
379 158 135
572 632 411
486 601 381
395 127 762
237 882 931
633 726 242
439 14 950
82 283 166
407 87 167
692 234 609
260 613 591
715 539 705
569 836 643
796 540 819
620 506 934
476 755 675
65 825 979
17 153 856
460 678 286
397 428 64
767 299 469
456 852 647
205 86 742
108 126 765
676 227 380
177 193 618
559 611 336
481 569 864
508 796 84
19 772 941
66 483 138
358 492 773
657 275 114
171 691 5
394 222 431
592 300 760
795 750 48
342 165 330
425 80 224
533 836 350
260 201 1000
603 803 43
129 318 499
644 474 999
469 350 923
499 784 934
723 59 349
498 399 277
881 244 324
75 857 391
53 195 310
385 68 631
642 220 65
227 278 229
401 779 478
365 732 93
136 403 564
488 140 960
186 547 410
342 58 601
293 204 482
578 466 372
407 82 771
510 872 466
96 87 29
749 253 762
124 108 260
802 91 678
691 699 473
116 497 643
419 197 694
738 341 441
635 764 178
82 730 616
858 866 499
656 833 255
696 404 415
602 3 510
430 292 936
574 235 924
283 851 651
700 489 668
716 789 341
98 215 908
268 132 95
171 144 307
447 755 574
67 480 633
80 73 501
401 95 63
273 628 495
580 503 922
221 799 702
566 622 484
529 367 799
814 223 710
168 829 413
748 498 839
310 475 527
432 578 293
168 213 238
344 536 687
641 764 249
283 409 260
813 379 225
270 801 315
487 586 588
410 464 459
180 815 779
463 414 576
110 372 302
402 28 480
112 658 322
300 733 166
520 70 961
477 574 343
494 746 50
268 324 20
82 91 501
347 43 232
519 404 1000
804 174 238
231 393 906
75 423 749
554 117 86
579 151 117
596 702 382
532 229 117
489 547 483
257 232 106
230 37 76
123 303 47
538 93 309
428 867 856
191 467 677
474 8 842
834 209 914
511 691 244
677 594 47
291 204 568
268 241 329
176 727 82
703 304 55
433 702 933
755 389 136
476 527 672
211 419 888
775 69 521
597 197 500
262 678 823
682 330 922
598 624 70
259 13 224
666 667 341
694 257 460
306 339 39
838 868 31
407 164 47
215 757 290
38 595 740
623 65 583
477 270 626
508 630 308
305 545 892
858 451 313
796 82 752
88 811 520
694 207 497
286 591 269
621 64 553
658 465 167
276 285 306
821 171 243
252 362 476
160 658 873
769 315 401
305 127 310
14 869 170
672 378 754
411 583 732
633 104 85
617 771 185
138 762 665
14 745 778
7 472 275
442 57 272
149 568 180
366 575 83
673 605 312
190 832 392
455 426 431
88 533 787
154 396 663
266 691 241
33 67 662
722 130 644
479 498 395
23 112 818
444 144 456
234 700 331
751 527 240
735 722 374
148 42 952
128 809 922
756 139 700
2 336 29
189 270 956
624 818 369
43 319 138
550 247 497
280 865 874
342 760 481
194 562 796
76 376 733
391 716 933
812 818 801
872 542 503
294 99 487
487 441 910
451 414 234
620 576 864
289 832 547
855 680 545
312 206 30
355 71 786
123 607 385
714 103 517
291 137 91
672 611 446
476 344 357
535 334 166
702 386 637
154 660 664
127 770 982
117 865 384
807 292 505
272 809 707
608 622 675
235 339 221
731 767 850
283 143 400
678 528 333
340 247 561
280 313 519
410 804 410
212 743 336
73 746 281
236 704 20
168 799 936
202 223 444
663 390 481
189 381 239
580 796 426
257 866 729
768 738 546
192 151 474
791 74 733
380 715 916
665 869 818
264 801 777
502 810 958
162 285 783
224 519 197
556 800 569
810 589 323
92 368 284
639 422 172
380 43 819
333 430 471
325 315 112
601 157 537
648 383 455
472 586 553
96 477 872
454 694 458
241 819 328
330 225 569
90 423 272
105 422 353
415 833 240
849 800 404
21 236 226
722 206 176
733 265 158
105 454 294
496 15 883
270 816 109
850 214 660
810 870 302
336 17 71
308 137 350
128 331 831
437 231 594
617 109 644
210 365 903
167 464 512
11 34 896
451 356 741
679 178 966
669 210 199
849 638 786
314 417 491
